date,geo,mode,value,value_z,roll_std_4q,pct_qoq,quarter
2015-03-31,DE,air,83.7,-0.6052930531004503,,,1
2015-06-30,DE,air,84.2,-0.5685343656652003,,0.005973715651135025,2
2015-09-30,DE,air,85.3,-0.48766525330765065,,0.013064133016627011,3
2015-12-31,DE,air,84.4,-0.5538308906911,0.04913395942563034,-0.010550996483001063,4
2016-03-31,DE,air,82.1,-0.7229208528932509,0.09954299614266032,-0.027251184834123365,1
2016-06-30,DE,air,80.9,-0.8111417027378501,0.14914849694842522,-0.014616321559074108,2
2016-09-30,DE,air,84.1,-0.575886103152251,0.12248606547463226,0.039555006180469476,3
2016-12-31,DE,air,81.9,-0.7376243278673501,0.09854253862894144,-0.026159334126040323,4
2017-03-31,DE,air,79.7,-0.8993625525824505,0.13707918632901125,-0.026862026862026878,1
2017-06-30,DE,air,82.1,-0.7229208528932509,0.13226318560635036,0.030112923462985997,2
2017-09-30,DE,air,85.3,-0.48766525330765065,0.16951561413352792,0.03897685749086488,3
2017-12-31,DE,air,85.1,-0.5023687282817509,0.19630653434862472,-0.0023446658851113966,4
2018-03-31,DE,air,80.8,-0.8184934402249008,0.1639920910676033,-0.05052878965922436,1
2018-06-30,DE,air,80.9,-0.8111417027378501,0.184758880271676,0.0012376237623763497,2
2018-09-30,DE,air,83.0,-0.6567552155098005,0.14976627889006208,0.02595797280593315,3
2018-12-31,DE,air,82.4,-0.7008656404321001,0.0806180953659855,-0.0072289156626504925,4
2019-03-31,DE,air,80.8,-0.8184934402249008,0.0806180953659855,-0.019417475728155442,1
2019-06-30,DE,air,80.9,-0.8111417027378501,0.0806180953659855,0.0012376237623763497,2
2019-09-30,DE,air,82.7,-0.6788104279709504,0.07277848802834942,0.02224969097651419,3
2019-12-31,DE,air,81.0,-0.8037899652508006,0.06643736599041083,-0.02055622732769047,4
2020-03-31,DE,air,82.6,-0.6861621654580009,0.0722817007334584,0.01975308641975304,1
2020-06-30,DE,air,91.8,-0.009802316649400492,0.3611279916563357,0.11138014527845042,2
2020-09-30,DE,air,88.2,-0.27446486618320015,0.36758687435250054,-0.039215686274509776,3
2020-12-31,DE,air,92.2,0.01960463329879994,0.32691130166741034,0.0453514739229024,4
2021-03-31,DE,air,93.8,0.13723243309159958,0.17376662690282954,0.017353579175704903,1
2021-06-30,DE,air,97.9,0.4386536700606503,0.2950709999420225,0.04371002132196167,2
2021-09-30,DE,air,101.6,0.7106679570814995,0.31100398531553125,0.037793667007150145,3
2021-12-31,DE,air,106.6,1.0782548314339997,0.40035481603004974,0.04921259842519676,4
2022-03-31,DE,air,107.0,1.1076617813822,0.3194059911802473,0.0037523452157599557,1
2022-06-30,DE,air,120.8,2.1222015545951005,0.6058830872215768,0.12897196261682242,2
2022-09-30,DE,air,131.4,2.901485728222401,0.8788837408640456,0.0877483443708611,3
2022-12-31,DE,air,119.1,1.9972220173152502,0.7347907459445953,-0.09360730593607314,4
2023-03-31,DE,air,107.7,1.1591239437915504,0.7133458733314753,-0.09571788413098226,1
2023-06-30,DE,air,108.0,1.1811791562527,0.825721548737971,0.0027855153203342198,2
2023-09-30,DE,air,108.0,1.1811791562527,0.41182855937674284,0.0,3
2023-12-31,DE,air,101.6,0.7106679570814995,0.23181300184641693,-0.059259259259259345,4
2005-03-31,ES,air,74.1,-2.5474114669557095,,,1
2005-06-30,ES,air,74.1,-2.5474114669557095,,0.0,2
2005-09-30,ES,air,76.8,-2.3031342423100196,,0.036437246963562764,3
2005-12-31,ES,air,79.5,-2.0588570176643293,0.23387763668326833,0.03515625,4
2006-03-31,ES,air,80.4,-1.9774312761157655,0.25749080346166614,0.01132075471698113,1
2006-06-30,ES,air,82.7,-1.7693432699361042,0.22068748013922831,0.028606965174129417,2
2006-09-30,ES,air,83.7,-1.6788702237710338,0.17688579588232603,0.012091898428053138,3
2006-12-31,ES,air,82.7,-1.7693432699361042,0.12652756049362623,-0.01194743130227005,4
2007-03-31,ES,air,84.3,-1.6245863960719922,0.07142979255666143,0.019347037484884977,1
2007-06-30,ES,air,85.4,-1.5250660452904141,0.10219183210240046,0.013048635824436605,2
2007-09-30,ES,air,86.6,-1.4164983898923307,0.1500325738850197,0.014051522248243353,3
2007-12-31,ES,air,86.3,-1.4436403037418515,0.09358604665308738,-0.0034642032332563577,4
2008-03-31,ES,air,86.8,-1.3984037806593164,0.05595448884149327,0.005793742757821629,1
2008-06-30,ES,air,93.7,-0.7741397621203306,0.32322226461811915,0.07949308755760365,2
2008-09-30,ES,air,101.3,-0.08654461126579684,0.6374070633846772,0.0811099252934897,3
2008-12-31,ES,air,100.1,-0.19511226666388146,0.6040445196471861,-0.01184600197433372,4
2009-03-31,ES,air,97.5,-0.4303421866930638,0.3043536222866618,-0.02597402597402587,1
2009-06-30,ES,air,96.9,-0.48462601439210545,0.18941809389406966,-0.006153846153846065,2
2009-09-30,ES,air,99.8,-0.2222541805134023,0.1457664628685074,0.029927760577915352,3
2009-12-31,ES,air,98.6,-0.33082183591148695,0.11562629920523512,-0.012024048096192397,4
2010-03-31,ES,air,97.1,-0.4665314051590924,0.12338878422790148,-0.015212981744421872,1
2010-06-30,ES,air,97.5,-0.4303421866930638,0.10969273887139826,0.004119464469618972,2
2010-09-30,ES,air,98.7,-0.3217745312949791,0.07214244531285086,0.012307692307692353,3
2010-12-31,ES,air,98.4,-0.3489164451445,0.06785478462380282,-0.003039513677811523,4
2011-03-31,ES,air,98.2,-0.3670110543775143,0.04613238278498709,-0.002032520325203291,1
2011-06-30,ES,air,100.4,-0.16797035281435935,0.09088676834286047,0.022403258655804503,2
2011-09-30,ES,air,102.5,0.0220230441322878,0.1820547604163786,0.020916334661354563,3
2011-12-31,ES,air,103.1,0.07630687183132948,0.20128982042769866,0.005853658536585371,4
2012-03-31,ES,air,102.6,0.031070348748794316,0.10819002762645526,-0.004849660523763344,1
2012-06-30,ES,air,103.4,0.1034487856808516,0.03838446267475395,0.007797270955165914,2
2012-09-30,ES,air,106.0,0.3386787057100339,0.13748232019758685,0.025145067698259194,3
2012-12-31,ES,air,105.0,0.24820565954496357,0.1388891411911858,-0.009433962264150941,4
2013-03-31,ES,air,107.8,0.5015301888071602,0.16674225771083773,0.026666666666666616,1
2013-06-30,ES,air,109.5,0.6553343672877799,0.17994434619971308,0.01576994434137302,2
2013-09-30,ES,air,110.0,0.7005708903703152,0.20409978627119482,0.004566210045662045,3
2013-12-31,ES,air,109.0,0.6100978442052448,0.08531213284124502,-0.009090909090909038,4
2014-03-31,ES,air,109.5,0.6553343672877799,0.03693546642994555,0.004587155963302836,1
2014-06-30,ES,air,110.2,0.7186654996033295,0.04865117429713329,0.006392694063926951,2
2014-09-30,ES,air,111.3,0.8181858503849063,0.09017096503404422,0.009981851179673207,3
2014-12-31,ES,air,109.3,0.6372397580547656,0.08171841524740403,-0.017969451931716063,4
2015-03-31,ES,air,112.0,0.8815169827004558,0.1078110771534598,0.02470265324794152,1
2015-06-30,ES,air,114.2,1.0805576842636107,0.18289583714058252,0.019642857142857073,2
2015-09-30,ES,air,116.7,1.3067402996762865,0.28519346753619396,0.02189141856392296,3
2015-12-31,ES,air,114.0,1.0624630750305963,0.1742438213603377,-0.023136246786632397,4
2016-03-31,ES,air,111.1,0.800091241151892,0.20723397129554622,-0.02543859649122815,1
2016-06-30,ES,air,110.5,0.7458074134528503,0.25869332793273775,-0.005400540054005365,2
2016-09-30,ES,air,110.6,0.7548547180693568,0.14966841661530303,0.0009049773755656076,3
2016-12-31,ES,air,109.3,0.6372397580547656,0.069050555667496,-0.011754068716093968,4
2017-03-31,ES,air,109.5,0.6553343672877799,0.060634942843806605,0.0018298261665141702,1
2017-06-30,ES,air,110.9,0.7819966319188789,0.07176324455110275,0.012785388127853903,2
2017-09-30,ES,air,111.2,0.8091385457683998,0.08720994721485333,0.0027051397655544207,3
2017-12-31,ES,air,108.7,0.582955930355724,0.1066341692475515,-0.02248201438848918,4
2018-03-31,ES,air,108.6,0.5739086257392162,0.1259060652479552,-0.0009199632014720294,1
2018-06-30,ES,air,109.2,0.6281924534382591,0.10966164241751263,0.005524861878453136,2
2018-09-30,ES,air,108.8,0.5920032349722305,0.023794009800044827,-0.003663003663003761,3
2018-12-31,ES,air,106.4,0.3748679241760625,0.11384275323347894,-0.022058823529411686,4
2019-03-31,ES,air,105.0,0.24820565954496357,0.1805687278060835,-0.013157894736842146,1
2019-06-30,ES,air,107.9,0.510577493423668,0.15145793231418708,0.027619047619047654,2
2019-09-30,ES,air,111.4,0.8272331550014141,0.24891051709453094,0.0324374420759963,3
2019-12-31,ES,air,110.0,0.7005708903703152,0.25185275955426106,-0.012567324955116699,4
2020-03-31,ES,air,107.0,0.4291517518751042,0.18054983887587814,-0.027272727272727226,1
2020-06-30,ES,air,109.9,0.6915235857538087,0.1672120414466404,0.02710280373831786,2
2020-09-30,ES,air,103.3,0.09440148106434379,0.28557589273988376,-0.060054595086442286,3
2020-12-31,ES,air,99.3,-0.26749070359593746,0.4156758154088186,-0.038722168441432725,4
2021-03-31,ES,air,98.5,-0.33986914052799344,0.47124212947820954,-0.00805639476334341,1
2021-06-30,ES,air,96.8,-0.4936733190086132,0.24923914813270096,-0.01725888324873104,2
2021-09-30,ES,air,101.7,-0.050355392799768195,0.18428910168130794,0.05061983471074383,3
2021-12-31,ES,air,103.0,0.06725956721482296,0.25791430835879875,0.012782694198623323,4
2022-03-31,ES,air,103.4,0.1034487856808516,0.2748529846609441,0.003883495145631022,1
2022-06-30,ES,air,115.7,1.2162672535112162,0.5917287665061629,0.1189555125725339,2
2022-09-30,ES,air,120.4,1.6414905704870468,0.7950096392402481,0.04062229904926529,3
2022-12-31,ES,air,109.6,0.6643816719042865,0.6682512963683807,-0.08970099667774101,4
2023-03-31,ES,air,110.2,0.7186654996033295,0.4602802330345937,0.005474452554744547,1
2023-06-30,ES,air,118.2,1.442449868923892,0.49817715878788743,0.072595281306715,2
2023-09-30,ES,air,119.2,1.5329229150889623,0.4616785559513847,0.008460236886632888,3
2023-12-31,ES,air,108.5,0.5648613211227097,0.4937969351777152,-0.08976510067114096,4
2006-03-31,FR,air,61.6,-0.8514040712226834,,,1
2006-06-30,FR,air,62.7,-0.7706102318003463,,0.017857142857142794,2
2006-09-30,FR,air,62.6,-0.7779551262932861,,-0.0015948963317384823,3
2006-12-31,FR,air,61.4,-0.8660938602085629,0.04922540763805523,-0.019169329073482455,4
2007-03-31,FR,air,59.1,-1.0350264335461763,0.12297672756737626,-0.037459283387622055,1
2007-06-30,FR,air,60.9,-0.9028183326732615,0.10677499585775664,0.030456852791878042,2
2007-09-30,FR,air,61.9,-0.8293693877438644,0.08963078806316473,0.016420361247947435,3
2007-12-31,FR,air,66.8,-0.4694695575898181,0.24192667251472197,0.07915993537964461,4
2008-03-31,FR,air,66.2,-0.5135389245474561,0.21907822885523417,-0.008982035928143617,1
2008-06-30,FR,air,71.7,-0.1095697274357714,0.29468195132937164,0.08308157099697877,2
2008-09-30,FR,air,75.0,0.1328117908312392,0.30739794775229595,0.046025104602510414,3
2008-12-31,FR,air,67.0,-0.4547797686039385,0.3038085487513778,-0.10666666666666669,4
2009-03-31,FR,air,58.8,-1.0570611170249957,0.5163544411296754,-0.12238805970149258,1
2009-06-30,FR,air,55.4,-1.3067875297849463,0.6444979254224958,-0.05782312925170063,2
2009-09-30,FR,air,56.4,-1.233338584855549,0.38661411128514345,0.018050541516245522,3
2009-12-31,FR,air,60.1,-0.9615774886167792,0.15837007389133712,0.06560283687943258,4
2010-03-31,FR,air,60.4,-0.9395428051379602,0.18710268764780522,0.004991680532445919,1
2010-06-30,FR,air,63.4,-0.7191959703497686,0.21061412918221867,0.04966887417218535,2
2010-09-30,FR,air,62.7,-0.7706102318003463,0.12091222335010167,-0.011041009463722329,3
2010-12-31,FR,air,64.4,-0.6457470254203708,0.12484520288966808,0.027113237639553533,4
2011-03-31,FR,air,66.2,-0.5135389245474561,0.11161259394908006,0.02795031055900621,1
2011-06-30,FR,air,69.9,-0.24177782830868616,0.22654366317249333,0.0558912386706949,2
2011-09-30,FR,air,69.1,-0.30053698425220476,0.18764252917903154,-0.011444921316166146,3
2011-12-31,FR,air,70.1,-0.22708803932280755,0.13239499155409656,0.01447178002894356,4
2012-03-31,FR,air,70.4,-0.20505335584398757,0.040839638900937496,0.0042796005706136064,1
2012-06-30,FR,air,70.9,-0.16832888337928895,0.05573576447748864,0.007102272727272707,2
2012-09-30,FR,air,70.2,-0.2197431448298672,0.026140671084678685,-0.009873060648801113,3
2012-12-31,FR,air,72.0,-0.08753504395695244,0.059178461110281244,0.02564102564102555,4
2013-03-31,FR,air,73.2,0.0006036899583244218,0.09639736815968444,0.016666666666666607,1
2013-06-30,FR,air,73.8,0.04467305691596233,0.11659658540595824,0.008196721311475308,2
2013-09-30,FR,air,74.0,0.05936284590184198,0.06610405043645776,0.0027100271002711285,3
2013-12-31,FR,air,73.3,0.007948584451263726,0.02836752551352064,-0.009459459459459474,4
2014-03-31,FR,air,72.7,-0.03612078250637418,0.0426172695291245,-0.008185538881309573,1
2014-06-30,FR,air,72.2,-0.07284525497107279,0.05705112618037563,-0.00687757909215958,2
2014-09-30,FR,air,72.3,-0.06550036047813348,0.03666321391919169,0.0013850415512464131,3
2014-12-31,FR,air,73.6,0.02998326793008268,0.04683870181703326,0.017980636237897585,4
2015-03-31,FR,air,74.2,0.07405263488772162,0.07230774137655237,0.008152173913043681,1
2015-06-30,FR,air,72.6,-0.04346567699931453,0.06469486026059844,-0.021563342318059453,2
2015-09-30,FR,air,70.2,-0.2197431448298672,0.12938972052119593,-0.03305785123966931,3
2015-12-31,FR,air,71.8,-0.10222483294283209,0.12231693708494946,0.022792022792022637,4
2016-03-31,FR,air,68.7,-0.32991656222396304,0.1272703005516329,-0.04317548746518096,1
2016-06-30,FR,air,68.6,-0.3372614567169034,0.11064167943226698,-0.0014556040756915634,2
2016-09-30,FR,air,67.2,-0.44008997961805885,0.1425962920080846,-0.020408163265306034,3
2016-12-31,FR,air,66.5,-0.4915042410686371,0.07922051252513135,-0.01041666666666674,4
2017-03-31,FR,air,66.1,-0.5208838190403964,0.08068247639294608,-0.006015037593985029,1
2017-06-30,FR,air,65.7,-0.5502633970121547,0.046982452646526736,-0.0060514372163387176,2
2017-09-30,FR,air,65.2,-0.5869878694768532,0.0408396389009372,-0.007610350076103556,3
2017-12-31,FR,air,66.4,-0.4988491355615764,0.038165191314014434,0.01840490797546024,4
2018-03-31,FR,air,66.3,-0.5061940300545167,0.04111391759719725,-0.001506024096385672,1
2018-06-30,FR,air,65.9,-0.535573608026275,0.04000552163974907,-0.006033182503770607,2
2018-09-30,FR,air,64.4,-0.6457470254203708,0.06798161786809528,-0.022761760242792084,3
2018-12-31,FR,air,64.5,-0.6384021309274315,0.07105339221977401,0.0015527950310558758,4
2019-03-31,FR,air,65.9,-0.535573608026275,0.06156143376049132,0.02170542635658923,1
2019-06-30,FR,air,64.8,-0.6163674474486125,0.050532304736552666,-0.016691957511380973,2
2019-09-30,FR,air,64.1,-0.6677817088991908,0.05669541773472482,-0.010802469135802517,3
2019-12-31,FR,air,64.3,-0.6530919199133112,0.05917846111028216,0.0031201248049923525,4
2020-03-31,FR,air,66.3,-0.5061940300545167,0.07305001309516167,0.031104199066874116,1
2020-06-30,FR,air,102.1,2.123278198417903,1.3680970968953836,0.5399698340874812,2
2020-09-30,FR,air,90.7,1.2859602262227756,1.3637196594426304,-0.1116552399608226,3
2020-12-31,FR,air,94.7,1.5797560059403644,1.1387113459127083,0.044101433296582115,4
2021-03-31,FR,air,99.7,1.9470007305873505,0.3748055831931141,0.05279831045406547,1
2021-06-30,FR,air,99.5,1.9323109416014708,0.3162856325382526,-0.0020060180541625616,2
2021-09-30,FR,air,96.3,1.6972743178273995,0.1804613323573612,-0.032160804020100575,3
2021-12-31,FR,air,104.5,2.2995556662484566,0.24828206049126123,0.08515057113187963,4
2022-03-31,FR,air,104.8,2.3215903497272756,0.3020276225648383,0.002870813397129135,1
2022-06-30,FR,air,112.7,2.901837014669514,0.4918840618034492,0.07538167938931295,2
2022-09-30,FR,air,107.4,2.512557606543709,0.27888039841551887,-0.04702750665483579,3
2022-12-31,FR,air,103.3,2.21141693233318,0.30334206772235944,-0.038175046554934866,4
2023-03-31,FR,air,91.6,1.3520642766592323,0.6586559134801312,-0.11326234269119073,1
2023-06-30,FR,air,83.1,0.7277482447593562,0.8140692641124733,-0.09279475982532748,2
2023-09-30,FR,air,76.0,0.2062607357606364,0.8628922594980016,-0.08543922984356189,3
2023-12-31,FR,air,84.1,0.8011971896887534,0.46880914411728514,0.10657894736842088,4
2024-03-31,FR,air,80.4,0.5294360934499845,0.2659757928159618,-0.04399524375743147,1
2010-03-31,IT,air,60.0,-0.8848339471536836,,,1
2010-06-30,IT,air,61.1,-0.8360635721137167,,0.018333333333333313,2
2010-09-30,IT,air,68.5,-0.5079719582084857,,0.12111292962356779,3
2010-12-31,IT,air,67.8,-0.5390076514157375,0.19596957170409066,-0.010218978102189857,4
2011-03-31,IT,air,62.0,-0.7961605379901077,0.17020136557224091,-0.08554572271386429,1
2011-06-30,IT,air,64.5,-0.6853187765356377,0.13394284049234037,0.040322580645161255,2
2011-09-30,IT,air,70.7,-0.41043120812855205,0.1684989222117606,0.09612403100775202,3
2011-12-31,IT,air,68.1,-0.5257066400412012,0.17042739350851108,-0.036775106082036935,4
2012-03-31,IT,air,68.2,-0.521272969583022,0.11311653831282548,0.001468428781204345,1
2012-06-30,IT,air,67.3,-0.5611760037066315,0.06529950229754618,-0.013196480938416522,2
2012-09-30,IT,air,69.0,-0.48580360591759175,0.030823842995861366,0.025260029717682153,3
2012-12-31,IT,air,68.6,-0.5035382877503072,0.032252222687807544,-0.005797101449275477,4
2013-03-31,IT,air,68.7,-0.499104617292128,0.03337545872041177,0.001457725947521915,1
2013-06-30,IT,air,68.9,-0.4902372763757703,0.008094737741631063,0.0029112081513829047,2
