date,geo,mode,value
2013-09-30,IT,air,69.6
2013-12-31,IT,air,69.3
2014-03-31,IT,air,70.0
2014-06-30,IT,air,70.7
2014-09-30,IT,air,69.9
2014-12-31,IT,air,67.8
2015-03-31,IT,air,65.0
2015-06-30,IT,air,64.9
2015-09-30,IT,air,66.5
2015-12-31,IT,air,66.2
2016-03-31,IT,air,64.4
2016-06-30,IT,air,64.2
2016-09-30,IT,air,67.3
2016-12-31,IT,air,65.6
2017-03-31,IT,air,65.5
2017-06-30,IT,air,69.4
2017-09-30,IT,air,68.5
2017-12-31,IT,air,71.0
2018-03-31,IT,air,70.4
2018-06-30,IT,air,71.0
2018-09-30,IT,air,73.2
2018-12-31,IT,air,72.7
2019-03-31,IT,air,72.1
2019-06-30,IT,air,73.2
2019-09-30,IT,air,71.5
2019-12-31,IT,air,70.2
2020-03-31,IT,air,67.2
2020-06-30,IT,air,87.6
2020-09-30,IT,air,85.9
2020-12-31,IT,air,85.1
2021-03-31,IT,air,96.8
2021-06-30,IT,air,95.1
2021-09-30,IT,air,104.6
2021-12-31,IT,air,103.6
2022-03-31,IT,air,101.7
2022-06-30,IT,air,125.4
2022-09-30,IT,air,144.5
2022-12-31,IT,air,133.2
2023-03-31,IT,air,126.4
2023-06-30,IT,air,136.3
2023-09-30,IT,air,135.0
2023-12-31,IT,air,125.7
2015-03-31,NL,air,101.7
2015-06-30,NL,air,102.6
2015-09-30,NL,air,104.6
2015-12-31,NL,air,100.4
2016-03-31,NL,air,96.1
2016-06-30,NL,air,95.4
2016-09-30,NL,air,98.0
2016-12-31,NL,air,94.6
2017-03-31,NL,air,94.3
2017-06-30,NL,air,96.7
2017-09-30,NL,air,99.3
2017-12-31,NL,air,95.5
2018-03-31,NL,air,92.2
2018-06-30,NL,air,96.1
2018-09-30,NL,air,101.1
2018-12-31,NL,air,97.9
2019-03-31,NL,air,91.4
2019-06-30,NL,air,97.6
2019-09-30,NL,air,100.4
2019-12-31,NL,air,94.6
2020-03-31,NL,air,91.7
2020-09-30,NL,air,103.7
2020-12-31,NL,air,95.6
2021-06-30,NL,air,99.7
2021-09-30,NL,air,101.3
2021-12-31,NL,air,107.0
2022-03-31,NL,air,104.6
2022-06-30,NL,air,116.1
2022-09-30,NL,air,126.6
2022-12-31,NL,air,121.0
2023-03-31,NL,air,112.6
2023-06-30,NL,air,116.9
2023-09-30,NL,air,115.0
2023-12-31,NL,air,108.9
2006-03-31,PL,air,75.0
2006-06-30,PL,air,76.4
2006-09-30,PL,air,76.6
2006-12-31,PL,air,76.0
2007-03-31,PL,air,75.5
2007-06-30,PL,air,75.6
2007-09-30,PL,air,76.1
2007-12-31,PL,air,76.1
2008-03-31,PL,air,76.9
2008-06-30,PL,air,77.0
2008-09-30,PL,air,77.0
2008-12-31,PL,air,80.2
2009-03-31,PL,air,81.7
2009-06-30,PL,air,82.4
2009-09-30,PL,air,86.0
2009-12-31,PL,air,88.0
2010-03-31,PL,air,89.4
2010-06-30,PL,air,89.8
2010-09-30,PL,air,90.0
2010-12-31,PL,air,89.6
2011-03-31,PL,air,91.8
2011-06-30,PL,air,93.2
2011-09-30,PL,air,95.7
2011-12-31,PL,air,95.7
2012-03-31,PL,air,95.8
2012-06-30,PL,air,95.9
2012-09-30,PL,air,97.4
2012-12-31,PL,air,98.7
2013-03-31,PL,air,97.9
2013-06-30,PL,air,99.6
2013-09-30,PL,air,99.8
2013-12-31,PL,air,98.8
2014-03-31,PL,air,96.2
2014-06-30,PL,air,97.0
2014-09-30,PL,air,96.2
2014-12-31,PL,air,94.9
2015-03-31,PL,air,94.2
2015-06-30,PL,air,94.8
2015-09-30,PL,air,99.2
2015-12-31,PL,air,97.9
2016-03-31,PL,air,97.5
2016-06-30,PL,air,97.1
2016-09-30,PL,air,97.6
2016-12-31,PL,air,96.0
2017-03-31,PL,air,93.3
2017-06-30,PL,air,96.7
2017-09-30,PL,air,96.9
2017-12-31,PL,air,95.6
2018-03-31,PL,air,95.8
2018-06-30,PL,air,99.0
2018-09-30,PL,air,96.8
2018-12-31,PL,air,100.3
2019-03-31,PL,air,99.6
2019-06-30,PL,air,100.8
2019-09-30,PL,air,99.9
2019-12-31,PL,air,100.1
2020-03-31,PL,air,96.8
2020-06-30,PL,air,97.9
2020-09-30,PL,air,95.9
2020-12-31,PL,air,97.5
2021-03-31,PL,air,100.4
2021-06-30,PL,air,99.7
2021-09-30,PL,air,99.3
2021-12-31,PL,air,100.5
2022-03-31,PL,air,105.3
